# Irregular inflections: one 'form lemma' pair per line, from Princeton WordNet 3.0
# (verb.exc / noun.exc / adj.exc / adv.exc), pruned to entries whose lemma exists in
# wordlist/known_words.txt. Regular forms are handled by rules in WordMorphology.kt.
abode abide
accompanied accompany
addrest address
admitted admit
admitting admit
allied ally
allotted allot
allotting allot
am be
amplified amplify
analyses analysis
angrier angry
angriest angry
antennae antenna
appalled appal
appalling appal
appendices appendix
applied apply
arcked arc
arcking arc
are be
arisen arise
arose arise
ashes ash
ate eat
auditoria auditorium
awoke awake
awoken awake
axes ax
babied baby
backslid backslide
backslidden backslide
bade bid
bagged bag
bagging bag
bani ban
banned ban
banning ban
barred bar
barrelled barrel
barrelling barrel
barring bar
bases base
batted bat
batting bat
beaten beat
beautified beautify
became become
bedded bed
bedding bed
been be
beeves beef
began begin
begged beg
begging beg
beginning begin
begun begin
bellied belly
benefitted benefit
benefitting benefit
bent bend
berried berry
besetting beset
best well
betted bet
better well
betting bet
biassed bias
biassing bias
bidden bid
bidding bid
bigger big
biggest big
binned bin
binning bin
bit bite
bitted bit
bitten bite
bitting bit
bled bleed
blest bless
blew blow
bloodied bloody
bloodier bloody
bloodiest bloody
blown blow
bluer blue
bluest blue
blurred blur
blurring blur
bodied body
bonier bony
boniest bony
bookshelves bookshelf
bore bear
born bear
borne bear
bought buy
bound bind
bragged brag
bragging brag
bred breed
brethren brother
brimmed brim
brimming brim
broke break
broken break
brought bring
budded bud
budding bud
buffaloes buffalo
bugged bug
bugging bug
built build
bulkier bulky
bulkiest bulky
bullied bully
bureaux bureau
buried bury
burnt burn
bushier bushy
bushiest bushy
busied busy
busier busy
busiest busy
busses bus
bypast bypass
calves calf
came come
camerae camera
canalled canal
canalling canal
cancelled cancel
cancelling cancel
candied candy
canned can
canning can
capped cap
capping cap
cargoes cargo
carried carry
catted cat
catting cat
caught catch
certified certify
channelled channel
channelling channel
chapped chap
chapping chap
chatted chat
chatting chat
children child
chillier chilly
chilliest chilly
chinned chin
chinning chin
chipped chip
chipping chip
choosier choosy
choosiest choosy
chopped chop
chopping chop
chose choose
chosen choose
clad clothe
clapped clap
clapping clap
clarified clarify
classified classify
clipped clip
clipping clip
clogged clog
clogging clog
cloudier cloudy
cloudiest cloudy
clubbed club
clubbing club
clumsier clumsy
clumsiest clumsy
clung cling
cola colon
colones colon
combatted combat
combatting combat
committed commit
committing commit
compelled compel
compelling compel
complied comply
conferred confer
conferring confer
conned con
conning con
controlled control
controlling control
co-ordinate coordinate
co-ordinated coordinate
co-ordinates coordinate
co-ordinating coordinate
copied copy
copped cop
copping cop
cosier cosy
cosiest cosy
costlier costly
costliest costly
counselled counsel
